시도,시군구,거래건수,평균거래금액_만원,평균노후도_년,평균면적_m2,신규입주_세대수,입주단지수,전월세거래건수,대수선이력건수,대수선이력_수집됨,인테리어업체수,총인구수,청년인구비율,고령인구비율,인테리어_수요점수,예상시공비_하한_만원,예상시공비_상한_만원,시장규모_추정_억,소상공인_인테리어업체수
경기,용인시,3418,67008.1,17.8,101.9,973.0,4.0,5207,1685.0,True,0.0,1089693,24.2,24.2,65.73,4624,6781,1949.1,1398
서울,송파구,1086,253550.2,18.1,83.7,2572.0,4.0,4640,1087.0,True,0.0,650505,28.0,25.7,55.78,3798,5570,508.7,1411
서울,서초구,403,313974.2,18.2,109.9,5886.0,7.0,1949,578.0,True,363.0,414486,25.3,23.7,52.08,4987,7314,247.9,1558
서울,강남구,450,275271.6,18.5,88.8,349.0,2.0,2216,990.0,True,0.0,552962,25.5,23.4,43.75,4029,5910,223.6,2076
경기,수원시,1866,61874.3,17.2,85.6,3841.0,5.0,2430,1471.0,True,186.0,1186120,29.4,23.1,42.11,3884,5697,893.9,1377
경기,성남시,1081,145790.4,17.0,85.1,1206.0,4.0,3287,1458.0,True,0.0,903747,26.2,26.8,41.39,3861,5663,514.8,1214
경기,고양시,1146,51585.1,17.4,100.3,2142.0,4.0,2522,1203.0,True,0.0,1057471,24.7,27.6,38.95,4551,6675,643.2,1408
대구,수성구,1223,82089.2,17.9,109.8,1003.0,2.0,1114,0.0,False,0.0,408527,20.7,28.4,37.64,4982,7307,751.5,687
대전,유성구,1027,51905.3,17.9,95.5,2783.0,2.0,1854,0.0,False,83.0,371147,30.0,20.2,36.42,4333,6355,548.8,485
서울,성북구,1336,96754.7,17.8,80.7,856.0,3.0,2279,948.0,True,0.0,422190,28.2,28.0,36.32,3662,5371,603.4,463
경기,남양주시,1649,46499.8,17.5,91.0,138.0,1.0,2377,876.0,True,0.0,727717,21.9,27.0,36.18,4129,6056,839.8,1163
서울,용산구,197,238687.8,17.6,105.9,0.0,0.0,836,1158.0,True,0.0,199810,31.4,27.3,35.82,4805,7048,116.8,450
부산,해운대구,761,98050.6,18.5,101.6,184.0,1.0,987,0.0,False,126.0,370920,20.4,32.5,34.49,4610,6761,432.7,545
경기,파주시,871,35119.2,16.9,91.7,4374.0,7.0,2571,854.0,True,0.0,532124,24.1,24.7,34.03,4161,6103,447.0,769
서울,마포구,463,132696.8,17.6,83.1,979.0,4.0,2004,1478.0,True,0.0,356856,33.2,23.8,33.78,3771,5530,215.3,868
경기,평택시,633,26363.1,17.7,89.0,8522.0,8.0,893,1174.0,True,0.0,618234,28.1,21.8,33.5,4038,5923,315.3,861
서울,광진구,169,181550.1,18.4,106.0,828.0,3.0,439,598.0,True,0.0,331136,33.6,26.3,33.05,4810,7054,100.3,565
서울,종로구,143,134952.0,17.6,96.6,0.0,0.0,324,2758.0,True,0.0,136518,29.2,30.8,32.13,4383,6429,77.3,540
서울,강동구,628,133928.5,17.3,87.5,652.0,3.0,2113,578.0,True,0.0,499058,26.4,27.1,31.49,3970,5823,307.5,548
서울,강서구,629,108508.5,18.2,79.3,1727.0,6.0,1735,578.0,True,0.0,548622,30.4,28.1,31.38,3598,5277,279.1,735
인천,남동구,1226,48172.4,17.7,90.4,0.0,0.0,1915,539.0,True,0.0,479343,23.8,29.7,31.24,4102,6016,620.2,713
